Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request GET,3,68,23,158,63.17,0.000%,1.86683,2.76,0.31,1515.0
HTTP Request POST,3,135,135,136,0.47,0.000%,1.89274,2.58,0.48,1396.7
HTTP Request PUT,3,229,140,407,125.40,0.000%,1.88561,2.34,0.52,1271.7
HTTP Request PATCH,3,136,135,137,0.82,0.000%,2.27445,3.16,0.51,1421.3
HTTP Request DELETE,3,147,136,170,15.80,0.000%,2.27618,2.64,0.43,1189.3
TOTAL,15,143,23,407,81.39,0.000%,6.94766,9.22,1.54,1358.8
